Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSLaboratoryObservation; header.directSubject[x]; 0..1; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; header.directSubject[x]; 0..1; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; header.directSubject[x]; 0..1; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; header.directSubject[x]; 0..1; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure;   ; The direct subject of the observation if different from the patient (subject of care), e.g. an observation of an implanted device. Additional types of subject may be allowed in implementations. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; observationDate[x]; 1..1; Clinically relevant time or time period for the observation; dateTime;   ; Clinically relevant time or time period for the observation ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; observationDate[x]; 1..1; Clinically relevant time or time period for the observation; Period;   ; Clinically relevant time or time period for the observation ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; type; 1..1; Observation type. Code and name representing the type of the observation using the agreed code systems.; CodeableConcept; LOINC, NPU, SNOMED CT (preferred)  ; Observation type. Code and name representing the type of the observation using the agreed code systems. ; SHALL:able-to-populate; SHALL:display, SHALL:process
EHDSLaboratoryObservation; originalName; 0..1; Original (conventional) name of the observation as used in the local laboratory or clinical system.; string;   ; Original (conventional) name of the observation as used in the local laboratory or clinical system. ; SHOULD:able-to-populate; SHOULD:display
EHDSLaboratoryObservation; method; 0..1; Observation method (measurement principle) to obtain the result.; CodeableConcept; SNOMED CT (preferred)  ; Observation method ; SHALL:able-to-populate; SHALL:display, SHALL:process
EHDSLaboratoryObservation; specimen; 0..1; Specimen used for this observation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSSpecimen;   ; Specimen used for this observation. ; SHALL:able-to-populate; SHOULD:display
EHDSLaboratoryObservation; order; 0..1; Identifies order and order placer this observation belongs to; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSServiceRequest;   ; Identifies order and order placer this observation belongs to ; SHALL:able-to-populate; 
EHDSLaboratoryObservation; performer[x]; 0..*; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions. ; SHOULD:able-to-populate; 
