Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model ; ; 
EHDSAddress; use; 0..1; Purpose of the address; CodeableConcept; HL7 AddressUse (preferred)  ; Purpose of the address ; ; 
EHDSAddress; type; 0..1; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.; CodeableConcept; HL7 AddressType (preferred)  ; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both. ; ; 
EHDSAddress; text; 0..1; Text representation of the address; string;   ; Text representation of the address ; ; 
EHDSAddress; street; 0..1; Name of the street; string;   ; Name of the street ; ; 
EHDSAddress; houseNumber; 0..1; House number; string;   ; House number ; ; 
EHDSAddress; postBox; 0..1; Post box; string;   ; Post box ; ; 
EHDSAddress; city; 0..1; City; string;   ; City ; ; 
EHDSAddress; postalCode; 0..1; Postal code; string;   ; Postal code ; ; 
EHDSAddress; country; 0..1; Country name and country code; CodeableConcept; ISO 3166-1 alpha-2 (preferred)  ; Country name and country code ; ; 
EHDSAdministeredDosage; ; 0..*; Model contains elements needed for registering an individual medication administration. It is derived from the full dosage regimen model in order to keep the consistency between the shared elements.; ;   ; Administered dosage model ; ; 
EHDSAdministeredDosage; renderedDosageInstruction; 0..1; Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.; string;   ; Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model. ; ; 
EHDSAdministeredDosage; dosageDetails; 0..1; Details of single dosage scheme step; Base;   ; Details of single dosage scheme step ; ; 
EHDSAdministeredDosage; dosageDetails.sequence; 0..0; Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.; integer;   ; Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel. ; ; 
EHDSAdministeredDosage; dosageDetails.note; 0..1; Patient oriented instructions as free text for this dosage step; string;   ; Patient oriented instructions as free text for this dosage step ; ; 
EHDSAdministeredDosage; dosageDetails.doseAndRate; 0..*; Amount of medication administered per one dose (= one timing); Base;   ; Amount of medication administered per one dose (= one timing) ; ; 
EHDSAdministeredDosage; dosageDetails.doseAndRate.dose[x]; 0..1; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml); Quantity; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml) ; ; 
EHDSAdministeredDosage; dosageDetails.doseAndRate.dose[x]; 0..1; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml); Range; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml) ; ; 
EHDSAdministeredDosage; dosageDetails.doseAndRate.rate[x]; 0..1; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).; Quantity; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min). ; ; 
EHDSAdministeredDosage; dosageDetails.doseAndRate.rate[x]; 0..1; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).; Ratio; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min). ; ; 
EHDSAdministeredDosage; dosageDetails.repeat; 0..0; Repetition of the administration.; Base;   ; Repetition of the administration. ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.bounds[x]; 0..1; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).; Quantity; UCUM (preferred)  ; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023). ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.bounds[x]; 0..1; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).; Period; UCUM (preferred)  ; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023). ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.duration; 0..1; Duration of administration (e.g '5 minutes', '1 hour'); Quantity; UCUM (preferred)  ; Duration of administration (e.g '5 minutes', '1 hour') ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.frequency; 0..1; Frequency of intake/administration (e.g 'three times a day'); Base;   ; Frequency of intake/administration (e.g 'three times a day') ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.frequency.numberOfTimes; 1..1; Number of times per period (e.g '3 times'); integer;   ; Number of times per period (e.g '3 times') ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.frequency.period; 1..1; Duration to which the frequency applies (e.g '... / 1 day'); Quantity; UCUM (preferred)  ; Duration to which the frequency applies (e.g '... / 1 day') ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.dayOfWeek; 0..*; The day of the week of administration, e.g Mon, Tue, etc; CodeableConcept;   ; The day of the week of administration, e.g Mon, Tue, etc ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.timeOfDay; 0..*; Exact time of day of administration (e.g '10:00'); time;   ; Exact time of day of administration (e.g '10:00') ; ; 
EHDSAdministeredDosage; dosageDetails.repeat.eventTime; 0..*; Time period or event when the administration should happen ('before meal', 'immediately', 'morning'); CodeableConcept;   ; Time period or event when the administration should happen ('before meal', 'immediately', 'morning') ; ; 
EHDSAdministeredDosage; dosageDetails.asNeeded; 0..0; Take as needed; boolean;   ; Take as needed ; ; 
EHDSAdministeredDosage; dosageDetails.bodySite; 0..1; Body site of administration; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Body site of administration ; ; 
EHDSAdministeredDosage; dosageDetails.routeOfAdministration; 0..1; Route of administration; CodeableConcept; EDQM Standard Terms (preferred)  ; Route of administration ; ; 
EHDSAdvanceDirective; ; 0..*; Healthcare directives concerning life or after life wishes of the patient; ;   ; Advance directive model ; ; 
EHDSAdvanceDirective; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSAdvanceDirective; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; 
EHDSAdvanceDirective; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; ; 
EHDSAdvanceDirective; header.author[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author of the advance directive. ; SHALL:able-to-populate; 
EHDSAdvanceDirective; header.author[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author of the advance directive. ; SHALL:able-to-populate; 
EHDSAdvanceDirective; header.author[x]; 0..*; Author of the advance directive.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author of the advance directive. ; SHALL:able-to-populate; 
EHDSAdvanceDirective; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; SHALL:able-to-populate; 
EHDSAdvanceDirective; header.status; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the resource or document ; SHALL:able-to-populate; 
EHDSAdvanceDirective; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; SHOULD:able-to-populate; 
EHDSAdvanceDirective; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSAdvanceDirective; category; 0..*; Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation.; CodeableConcept; SNOMED CT (preferred)  ; Categories of directives related to decisions prior and after death, such as life support, resuscitation or organ donation. ; SHALL:able-to-populate; 
EHDSAdvanceDirective; note; 0..1; Textual description of the directive; string;   ; Textual description of the directive ; SHOULD:able-to-populate; 
EHDSAdvanceDirective; attachment; 0..1; Source document, such as a PDF, with the living will and the patient's signature.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; Source document, such as a PDF, with the living will and the patient's signature. ; SHOULD:able-to-populate; 
EHDSAlert; ; 0..*; A statement higlighting a fact about the patient that requires clinical attention to ensure safety and prevent adverse outcomes.
Example 1: intolerance to aspirin due to gastrointestinal bleeding.
Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)
Example 3: the patient has a rare disease that requires special treatment
Example 4: Airway Alert / Difficult Intubation
Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders, special treatments like anticoagulants or immunosuppressants, implanted devices.
Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.
Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.; ;   ; Alert model ; ; 
EHDSAlert; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSAlert; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; 
EHDSAlert; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; ; 
EHDSAlert; header.author[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the alert statement, i.e. the setter of the alert. ; ; 
EHDSAlert; header.author[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the alert statement, i.e. the setter of the alert. ; ; 
EHDSAlert; header.author[x]; 0..*; The author of the alert statement, i.e. the setter of the alert.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the alert statement, i.e. the setter of the alert. ; ; 
EHDSAlert; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; ; 
EHDSAlert; header.status; 1..1; Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.; CodeableConcept; hl7:Flag-status (preferred)  ; Current status of the alert, indicates whether this alert is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error. ; SHALL:able-to-populate; 
EHDSAlert; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSAlert; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSAlert; code; 0..1; A coded representation of the alert.; CodeableConcept; SNOMED CT (preferred)  ; A coded representation of the alert. ; SHALL:able-to-populate; 
EHDSAlert; description; 0..1; Narrative representation of the alert.; string;   ; Narrative representation of the alert. ; SHALL:able-to-populate; 
EHDSAlert; priority; 0..1; A code that identifies the priority of the alert.; CodeableConcept; hl7:Flag-priority-code (preferred)  ; A code that identifies the priority of the alert. ; SHOULD:able-to-populate; 
EHDSAlert; period; 0..1; Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified.; Period;   ; Time period when alert is active. The period of time from the activation of the alert to inactivation of the alert. If the alert is active, the end of the period should be unspecified. ; SHALL:able-to-populate; 
EHDSAlert; sourceReference; 0..*; A reference to the resource the alert is about.; Resource;   ; A reference to the resource the alert is about. ; ; 
EHDSAllergyIntolerance; ; 0..*; Model for allergy or intolerance.; ;   ; Allergy intolerance model ; ; 
EHDSAllergyIntolerance; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSAllergyIntolerance; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; 
EHDSAllergyIntolerance; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; SHOULD:able-to-populate; 
EHDSAllergyIntolerance; header.author[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the allergy/intolerance information. ; ; 
EHDSAllergyIntolerance; header.author[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the allergy/intolerance information. ; ; 
EHDSAllergyIntolerance; header.author[x]; 0..*; The author of the allergy/intolerance information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the allergy/intolerance information. ; ; 
EHDSAllergyIntolerance; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; SHOULD:able-to-populate; 
EHDSAllergyIntolerance; header.status; 1..1; Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.; CodeableConcept; HL7 allergy intolerance status (preferred)  ; Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc. ; SHALL:able-to-populate; 
EHDSAllergyIntolerance; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSAllergyIntolerance; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSAllergyIntolerance; agentOrAllergen; 1..1; Code for an allergy or intolerance statement (either a positive or a negated/excluded statement). This may be a code for a substance or pharmaceutical product that is considered to be responsible for the adverse reaction risk (e.g., "Latex"), an allergy or intolerance condition (e.g., "Latex allergy"), or a negated/excluded code for a specific substance or class (e.g., "No latex allergy")
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.; CodeableConcept; ATC, EMA SPOR SMS, SNOMED CT (preferred)  ; Code that identifies the allergy or intolerance ; SHALL:able-to-populate; 
EHDSAllergyIntolerance; note; 0..1; Additional information about the allergy or intolerance; string;   ; Additional information about the allergy or intolerance ; SHOULD:able-to-populate; 
EHDSAllergyIntolerance; criticality; 0..1; Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.; CodeableConcept; HL7 allergy intolerance criticality (preferred)  ; Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance. ; SHOULD:able-to-populate; 
EHDSAllergyIntolerance; certainty; 0..1; Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition; CodeableConcept; HL7 allergy intolerance verification (preferred)  ; Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition ; ; 
EHDSAllergyIntolerance; onsetDate; 0..1; When allergy or intolerance was identified; dateTime;   ; When allergy or intolerance was identified ; ; 
EHDSAllergyIntolerance; endDate; 0..1; Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition); dateTime;   ; Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition) ; ; 
EHDSAllergyIntolerance; reaction; 0..*; Adverse reaction events linked to exposure to substance.; Base;   ; Adverse reaction events linked to exposure to substance. ; ; 
EHDSAllergyIntolerance; reaction.agentOrAllergen; 0..1; Identification of the specific substance (or pharmaceutical product) considered to be responsible for the 
  Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified  as the cause of the risk, but it must be consistent with it.  
  It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'.; CodeableConcept;   ; Specific substance or pharmaceutical product considered to be responsible for event ; ; 
EHDSAllergyIntolerance; reaction.manifestation; 0..*; Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).; CodeableConcept; ICD-10, SNOMED CT (preferred)  ; Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction). ; SHALL:able-to-populate; 
EHDSAllergyIntolerance; reaction.severity; 0..1; Severity of the clinical manifestation of the allergic reaction.; CodeableConcept; SNOMED CT, HL7 reaction event severity (preferred)  ; Severity of the clinical manifestation of the allergic reaction. ; ; 
EHDSAllergyIntolerance; reaction.onset; 0..1; Date and time of the onset of the reaction; dateTime;   ; Date and time of the onset of the reaction ; SHALL:able-to-populate; 
EHDSAttachment; ; 0..*; This model is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.; ;   ; Attachment model ; ; 
EHDSAttachment; contentType; 0..1; Mime type of the content, with charset etc.; CodeableConcept; BCP-13 (preferred)  ; Mime type of the content, with charset etc. ; ; 
EHDSAttachment; language; 0..1; Human language of the content; CodeableConcept; BCP 47 (preferred)  ; Human language of the content ; ; 
EHDSAttachment; data; 0..1; The actual data of the attachment - a sequence of bytes, base64 encoded.; base64Binary;   ; The actual data of the attachment - a sequence of bytes, base64 encoded. ; ; 
EHDSAttachment; url; 0..1; A location where the data can be accessed.; uri;   ; A location where the data can be accessed. ; ; 
EHDSAttachment; size; 0..1; The number of bytes of data that make up this attachment (before base64 encoding).; integer64;   ; The number of bytes of data that make up this attachment (before base64 encoding). ; ; 
EHDSAttachment; title; 0..1; A label or set of text to display in place of the data.; string;   ; A label or set of text to display in place of the data. ; ; 
EHDSBodyStructure; ; 0..*; Model for body structure; ;   ; Body structure model ; ; 
EHDSBodyStructure; morphology; 0..1; The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.; CodeableConcept; SNOMED CT (preferred)  ; The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies. ; SHOULD:able-to-populate; SHALL:display
EHDSBodyStructure; location; 0..1; Body site; CodeableConcept; SNOMED CT (preferred)  ; Body site ; SHALL:able-to-populate; SHALL:display
EHDSBodyStructure; locationQualifier; 0..*; Additional qualifier of the body structure (e.g. upper, lower, distal, proximal).; CodeableConcept; SNOMED CT (preferred)  ; Additional qualifier of the body structure (e.g. upper, lower, distal, proximal). ; SHOULD:able-to-populate; SHALL:display
EHDSBodyStructure; laterality; 0..1; Body structure laterality (e.g. left, right).; CodeableConcept; SNOMED CT (preferred)  ; Body structure laterality (e.g. left, right). ; SHALL:able-to-populate; SHALL:display
EHDSBodyStructure; description; 0..1; Textual description of the body structure; string;   ; Textual description of the body structure ; SHOULD:able-to-populate; SHALL:display
EHDSCarePlan; ; 0..*; Simplified model for care plan. The model includes minimal information and is not designed to cover the full functionality of care plans. The model is applicable to different domains.; ;   ; Care plan model ; ; 
EHDSCarePlan; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSCarePlan; header.subject; 1..1; The patient whose intended care is described in the plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The patient whose intended care is described in the plan. ; ; 
EHDSCarePlan; header.identifier; 0..*; Identifier for the care plan; Identifier;   ; Identifier for the care plan ; ; 
EHDSCarePlan; header.author[x]; 0..*; The responsible party (custodian) for the care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The responsible party (custodian) for the care plan. ; ; 
EHDSCarePlan; header.author[x]; 0..*; The responsible party (custodian) for the care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The responsible party (custodian) for the care plan. ; ; 
EHDSCarePlan; header.author[x]; 0..*; The responsible party (custodian) for the care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The responsible party (custodian) for the care plan. ; ; 
EHDSCarePlan; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; ; 
EHDSCarePlan; header.status; 1..1; Indicates whether the plan is currently being acted upon, represents future intentions, or is now a historical record.; CodeableConcept; HL7 Request status (preferred)  ; Indicates whether the plan is currently being acted upon, represents future intentions, or is now a historical record. ; ; 
EHDSCarePlan; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSCarePlan; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSCarePlan; title; 0..1; Human-friendly name for the care plan; string;   ; Human-friendly name for the care plan ; ; 
EHDSCarePlan; description; 0..1; A description of the scope and nature of the plan.; string;   ; A description of the scope and nature of the plan. ; ; 
EHDSCarePlan; period; 0..1; Indicates when the plan did (or is intended to) come into effect and end.; Period;   ; Indicates when the plan did (or is intended to) come into effect and end. ; ; 
EHDSCarePlan; addresses[x]; 0..*; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.; CodeableConcept; ICD-10, SNOMED CT, Orphacode (preferred)  ; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan. ; ; 
EHDSCarePlan; addresses[x]; 0..*; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; ICD-10, SNOMED CT, Orphacode (preferred)  ; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan. ; ; 
EHDSCarePlan; activity[x]; 0..*; The details of the proposed activity represented in a specific resource.; CodeableConcept;   ; The details of the proposed activity represented in a specific resource. ; ; 
EHDSCarePlan; activity[x]; 0..*; The details of the proposed activity represented in a specific resource.; Reference;   ; The details of the proposed activity represented in a specific resource. ; ; 
EHDSCarePlan; goal; 0..*; Describes the intended objective(s) of carrying out the care plan.; CodeableConcept;   ; Describes the intended objective(s) of carrying out the care plan. ; ; 
EHDSCondition; ; 0..*; Model for a clinical condition, problem, diagnosis, or other event, situation, or issue that has risen to a level of concern.; ;   ; Condition model ; ; 
EHDSCondition; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; SHALL:able-to-populate; 
EHDSCondition; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; SHALL:display, SHALL:process
EHDSCondition; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; SHOULD:able-to-populate; 
EHDSCondition; header.author[x]; 0..*; The author of the condition information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the condition information. ; ; 
EHDSCondition; header.author[x]; 0..*; The author of the condition information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the condition information. ; ; 
EHDSCondition; header.author[x]; 0..*; The author of the condition information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the condition information. ; ; 
EHDSCondition; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; ; 
EHDSCondition; header.status; 1..1; Status of the condition/problem (e.g. active, resolved, inactive, etc); CodeableConcept; HL7 Condition Clinical Status Codes (preferred)  ; Status of the condition/problem (e.g. active, resolved, inactive, etc) ; SHALL:able-to-populate; SHOULD:display
EHDSCondition; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSCondition; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSCondition; problem; 1..1; Code identifying the condition, problem or diagnosis; CodeableConcept; ICD-10, SNOMED CT, ICD-O, Orphacode if rare disease is diagnosed (preferred)  ; Code identifying the condition, problem or diagnosis ; SHALL:able-to-populate; 
EHDSCondition; onsetDate; 0..1; Onset date of a problem/condition; dateTime;   ; Onset date of a problem/condition ; SHOULD:able-to-populate; 
EHDSCondition; endDate; 0..1; The date or estimated date that the condition resolved or went into remission; dateTime;   ; The date or estimated date that the condition resolved or went into remission ; SHALL:able-to-populate; 
EHDSCondition; category; 0..*; Category or categories of the problem (e.g. POA - present on admission, HAC - hospital aquired condition, and other categorisations).; CodeableConcept;   ; Category or categories of the problem (e.g. POA - present on admission, HAC - hospital aquired condition, and other categorisations). ; ; 
EHDSCondition; resolutionCircumstances; 0..1; This field includes free text if the resolution circumstances are not already included in other fields such as surgical procedure, medical device, etc., e.g. hepatic cystectomy (this will be the resolution circumstances for the problem "hepatic cyst" and will be included in surgical procedures).; string;   ; Describes the reason for which the status of the problem changed from current to inactive (e.g. surgical procedure, medical treatment, etc.). ; ; 
EHDSCondition; severity; 0..1; A subjective assessment of the severity of the condition as evaluated by the clinician.; CodeableConcept; HL7 Condition/Diagnosis Severity; SNOMED CT (preferred)  ; A subjective assessment of the severity of the condition as evaluated by the clinician. ; ; 
EHDSCondition; bodySite; 0..*; The anatomical location including laterality where this condition manifests itself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; The anatomical location including laterality where this condition manifests itself. ; SHOULD:able-to-populate; 
EHDSCondition; stage; 0..*; Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used.; CodeableConcept; e.g. TNM, ICD-O-3, Bi-Rads, Li-Rads, … (preferred)  ; Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used. ; ; 
EHDSCondition; diagnosisAssertionStatus; 0..1; Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition.; CodeableConcept; HL7 Condition Verification Status (preferred)  ; Assertion about the certainty associated with a diagnosis. Diagnostic and/or clinical evidence of condition. ; ; 
EHDSCondition; specialistContact; 0..*; Health Professional who may be specifically related to the problem, as a preferred contact.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Health Professional who may be specifically related to the problem, as a preferred contact. ; ; 
EHDSCondition; externalResource; 0..*; External Resource which may be specifically related to the problem, for example a link between a rare disease problem and the corresponding guidelines.; uri;   ; External Resource which may be specifically related to the problem, for example a link between a rare disease problem and the corresponding guidelines. ; ; 
EHDSCurrentPregnancy; ; 0..*; Current pregnancy status; ;   ; Current pregnancy status model ; ; 
