Profile,Field,Card,MS,EHDS Producer,EHDS Consumer,R5 Producer,R5 Consumer,R4 Producer,R4 Consumer,EHDS Description,Description
DocumentReferenceImagingReport,type.coding,1..*,,,,,,,,,
DocumentReferenceImagingReport,type.coding[imaging-report],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,author,0..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,author[performer],0..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,basedOn,0..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,basedOn[ServiceRequestOrderEuImagingaccession],0..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,basedOn[ServiceRequestOrderEuImagingaccession].identifier,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,category,1..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,category[imkeyimages],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,category[imkeyimages].coding,1..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,category[imkeyimages].coding[keyimagecode],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content,1..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[content],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[content].attachment.url,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[content].extension,1..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[content].extension[thumbnail],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[content].extension[thumbnail].value[x],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[thumbnail],0..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[thumbnail].extension,1..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[thumbnail].extension[thumbnail],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,content[thumbnail].extension[thumbnail].value[x],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension,0..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension[basedOn/ServiceRequestOrderEuImagingaccession],0..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension[basedOn/ServiceRequestOrderEuImagingaccession].extension,0..0,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension[basedOn/ServiceRequestOrderEuImagingaccession].value[x],0..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension[basedOn/ServiceRequestOrderEuImagingaccession].value[x].identifier,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension[basedOn],0..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,extension[modality],1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier,0..*,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[seriesInstanceUid],0..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[seriesInstanceUid].system,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[seriesInstanceUid].type,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[seriesInstanceUid].value,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[sopClassInstanceUid],0..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[sopClassInstanceUid].system,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[sopClassInstanceUid].type,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,identifier[sopClassInstanceUid].value,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,modality,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,subject,1..1,,,,,,,,,
DocumentReferenceKeyImageEuImaging,type,0..1,,,,,,,,,
EuAddress,city,,,,,,,,,EHDSAddress.city,EHDSAddress.city
EuAddress,country,,,,,,,,,EHDSAddress.country,EHDSAddress.country
EuAddress,country.extension[countryCode],,,,,,,,,EHDSAddress.country,EHDSAddress.country
EuAddress,line,,,,,,,,,"EHDSAddress.street, EHDSAddress.houseNumber, EHDSAddress.postBox","EHDSAddress.street, EHDSAddress.houseNumber, EHDSAddress.postBox"
EuAddress,line.extension[houseNumber],,,,,,,,,EHDSAddress.houseNumber,EHDSAddress.houseNumber
EuAddress,line.extension[postBox],,,,,,,,,EHDSAddress.postBox,EHDSAddress.postBox
EuAddress,line.extension[streetName],,,,,,,,,EHDSAddress.street,EHDSAddress.street
EuAddress,postalCode,,,,,,,,,EHDSAddress.postalCode,EHDSAddress.postalCode
EuAddress,text,,,,,,,,,EHDSAddress.text,EHDSAddress.text
EuAddress,type,,,,,,,,,EHDSAddress.type,EHDSAddress.type
EuAddress,use,,,,,,,,,EHDSAddress.use,EHDSAddress.use
EuAllergyIntolerance,code,,,SHALL:able-to-populate,,,,,,EHDSAllergyIntolerance.agentOrAllergen,EHDSAllergyIntolerance.agentOrAllergen
EuAllergyIntolerance,criticality,,,SHOULD:able-to-populate,,,,,,EHDSAllergyIntolerance.criticality,EHDSAllergyIntolerance.criticality
EuAllergyIntolerance,extension[abatement].valueDateTime,,,,,,,,,EHDSAllergyIntolerance.endDate,EHDSAllergyIntolerance.endDate
EuAllergyIntolerance,identifier,,,SHOULD:able-to-populate,,,,,,EHDSAllergyIntolerance.header.identifier,EHDSAllergyIntolerance.header.identifier
EuAllergyIntolerance,language,,,,,,,,,EHDSAllergyIntolerance.header.language,EHDSAllergyIntolerance.header.language
EuAllergyIntolerance,onsetDateTime,,,,,,,,,EHDSAllergyIntolerance.onsetDate,EHDSAllergyIntolerance.onsetDate
EuAllergyIntolerance,onsetPeriod,,,,,,,,,EHDSAllergyIntolerance.onsetDate,EHDSAllergyIntolerance.onsetDate
EuAllergyIntolerance,patient,,,SHALL:able-to-populate,,,,,,EHDSAllergyIntolerance.header.subject,EHDSAllergyIntolerance.header.subject
EuAllergyIntolerance,reaction,,,,,,,,,EHDSAllergyIntolerance.reaction,EHDSAllergyIntolerance.reaction
EuAllergyIntolerance,reaction.manifestation,,,SHALL:able-to-populate,,,,,,EHDSAllergyIntolerance.reaction.manifestation,EHDSAllergyIntolerance.reaction.manifestation
EuAllergyIntolerance,reaction.severity,,,,,,,,,EHDSAllergyIntolerance.reaction.severity,EHDSAllergyIntolerance.reaction.severity
EuAllergyIntolerance,reaction.substance,,,SHALL:able-to-populate,,,,,,EHDSAllergyIntolerance.agentOrAllergen,EHDSAllergyIntolerance.agentOrAllergen
EuAllergyIntolerance,verificationStatus,,,SHALL:able-to-populate,,,,,,"EHDSAllergyIntolerance.header.status, EHDSAllergyIntolerance.certainty","EHDSAllergyIntolerance.header.status, EHDSAllergyIntolerance.certainty"
EuAttachment,contentType,,,,,,,,,EHDSAttachment.contentType,EHDSAttachment.contentType
EuAttachment,data,,,,,,,,,EHDSAttachment.data,EHDSAttachment.data
EuAttachment,language,,,,,,,,,EHDSAttachment.language,EHDSAttachment.language
EuAttachment,size,,,,,,,,,EHDSAttachment.size,EHDSAttachment.size
EuAttachment,title,,,,,,,,,EHDSAttachment.title,EHDSAttachment.title
EuAttachment,url,,,,,,,,,EHDSAttachment.url,EHDSAttachment.url
EuCarePlan,activity,,,,,,,,,EHDSCarePlan.activity[x],EHDSCarePlan.activity[x]
EuCarePlan,description,,,SHALL:able-to-populate,SHOULD:process,SHOULD:able-to-populate,,SHOULD:able-to-populate,,"EHDSCarePlan.description, EHDSImagingReport.body.recommendation.description","EHDSCarePlan.description, EHDSImagingReport.body.recommendation.description"
EuCarePlan,description.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml],,,,,,,,,EHDSCarePlan.description,EHDSCarePlan.description
EuCarePlan,identifier,,,,,,,,,EHDSCarePlan.header.identifier,EHDSCarePlan.header.identifier
EuCarePlan,language,,,,,,,,,EHDSCarePlan.header.language,EHDSCarePlan.header.language
EuCarePlan,status,,,,,,,,,EHDSCarePlan.header.status,EHDSCarePlan.header.status
EuCarePlan,subject,,,,,,,,,"EHDSCarePlan.header.subject, EHDSCarePlan.period","EHDSCarePlan.header.subject, EHDSCarePlan.period"
EuCarePlan,title,,,,,,,,,EHDSCarePlan.title,EHDSCarePlan.title
EuCarePlan,title.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml],,,,,,,,,EHDSCarePlan.title,EHDSCarePlan.title
EuCondition,abatement[x],,,SHALL:able-to-populate,,,,,,EHDSCondition.endDate,EHDSCondition.endDate
EuCondition,category,,,,,,,,,EHDSCondition.category,EHDSCondition.category
EuCondition,code,,,SHALL:able-to-populate,,,,,,EHDSCondition.problem,EHDSCondition.problem
EuCondition,evidence,,,,,,,,,EHDSCondition.externalResource,EHDSCondition.externalResource
EuCondition,evidence.concept,,,,,,,,,EHDSCondition.resolutionCircumstances,EHDSCondition.resolutionCircumstances
EuCondition,identifier,,,SHOULD:able-to-populate,,,,,,EHDSCondition.header.identifier,EHDSCondition.header.identifier
EuCondition,language,,,,,,,,,EHDSCondition.header.language,EHDSCondition.header.language
EuCondition,onset[x],,,SHOULD:able-to-populate,,,,,,EHDSCondition.onsetDate,EHDSCondition.onsetDate
EuCondition,participant.extension[specialist-contact],,,,,,,,,EHDSCondition.specialistContact,EHDSCondition.specialistContact
EuCondition,severity,,,,,,,,,EHDSCondition.severity,EHDSCondition.severity
EuCondition,stage,,,,,,,,,EHDSCondition.stage,EHDSCondition.stage
EuCondition,subject,,,SHALL:able-to-populate,"SHALL:display, SHALL:process",,,,,EHDSCondition.header.subject,EHDSCondition.header.subject
EuCondition,verificationStatus,,,,,,,,,EHDSCondition.diagnosisAssertionStatus,EHDSCondition.diagnosisAssertionStatus
EuDevice,expirationDate,,,,,,,,,EHDSDevice.expiryDate,EHDSDevice.expiryDate
EuDevice,lotNumber,,,SHOULD:able-to-populate,,,,,,EHDSDevice.lotNumber,EHDSDevice.lotNumber
EuDevice,manufactureDate,,,,,,,,,EHDSDevice.manufactureDate,EHDSDevice.manufactureDate
EuDevice,manufacturer,,,SHOULD:able-to-populate,SHOULD:display,,,,,EHDSDevice.manufacturer,EHDSDevice.manufacturer
EuDevice,modelNumber,,,SHOULD:able-to-populate,,,,,,EHDSDevice.modelNumber,EHDSDevice.modelNumber
EuDevice,name,,,SHOULD:able-to-populate,SHOULD:display,,,,,EHDSDevice.name,EHDSDevice.name
EuDevice,note,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSDevice.note,EHDSDevice.note
EuDevice,serialNumber,,,,,,,,,EHDSDevice.serialNumber,EHDSDevice.serialNumber
EuDevice,type,,,SHOULD:able-to-populate,,,,,,EHDSDevice.type,EHDSDevice.type
EuDevice,version,,,SHOULD:able-to-populate,,,,,,EHDSDevice.version,EHDSDevice.version
EuEncounter,admission,,,,,,,,,EHDSEncounter.admission,EHDSEncounter.admission
EuEncounter,admission.admitSource,,,,,,,,,EHDSEncounter.admission.admitSource,EHDSEncounter.admission.admitSource
EuEncounter,basedOn,,,,,,,,,EHDSEncounter.basedOn[x],EHDSEncounter.basedOn[x]
EuEncounter,extension[note],,,,,,,,,EHDSEncounter.note,EHDSEncounter.note
EuEncounter,identifier,,,,,,,,,EHDSEncounter.header.identifier,EHDSEncounter.header.identifier
EuEncounter,language,,,,,,,,,EHDSEncounter.header.language,EHDSEncounter.header.language
EuEncounter,participant[admitter].actor,,,,,,,,,EHDSEncounter.admission.admitter,EHDSEncounter.admission.admitter
EuEncounter,priority,,,,,,,,,EHDSEncounter.priority,EHDSEncounter.priority
EuEncounter,serviceProvider,,,,,,,,,EHDSEncounter.serviceProvider,EHDSEncounter.serviceProvider
EuEncounter,status,,,,,,,,,EHDSEncounter.header.status,EHDSEncounter.header.status
EuEncounter,subject,,,,,,,,,EHDSEncounter.header.subject,EHDSEncounter.header.subject
EuEncounter,type,,,,,,,,,EHDSEncounter.type,EHDSEncounter.type
EuEndpoint,address,,,,,,,,,EHDSEndpoint.address,EHDSEndpoint.address
EuEndpoint,connectionType,,,,,,,,,EHDSEndpoint.connectionType,EHDSEndpoint.connectionType
EuEndpoint,header,,,,,,,,,EHDSEndpoint.header,EHDSEndpoint.header
EuEndpoint,identifier,,,,,,,,,EHDSEndpoint.identifier,EHDSEndpoint.identifier
EuEndpoint,managingOrganization,,,,,,,,,EHDSEndpoint.managingOrganisation,EHDSEndpoint.managingOrganisation
EuEndpoint,name,,,,,,,,,EHDSEndpoint.name,EHDSEndpoint.name
EuEndpoint,payload,,,,,,,,,EHDSEndpoint.payload,EHDSEndpoint.payload
EuEndpoint,payload.mimeType,,,,,,,,,EHDSEndpoint.payload.mimeType,EHDSEndpoint.payload.mimeType
EuEndpoint,payload.type,,,,,,,,,EHDSEndpoint.payload.type,EHDSEndpoint.payload.type
EuEndpoint,status,,,,,,,,,EHDSEndpoint.status,EHDSEndpoint.status
EuHumanName,family,,,,,,,,,EHDSHumanName.family,EHDSHumanName.family
EuHumanName,given,,,,,,,,,EHDSHumanName.given,EHDSHumanName.given
EuHumanName,prefix,,,,,,,,,EHDSHumanName.prefix,EHDSHumanName.prefix
EuHumanName,suffix,,,,,,,,,EHDSHumanName.suffix,EHDSHumanName.suffix
EuHumanName,text,,,,,,,,,EHDSHumanName.text,EHDSHumanName.text
EuHumanName,use,,,,,,,,,EHDSHumanName.use,EHDSHumanName.use
EuMedicationAdministration,identifier,,,,,,,,,EHDSMedicationAdministration.header.identifier,EHDSMedicationAdministration.header.identifier
EuMedicationAdministration,language,,,,,,,,,EHDSMedicationAdministration.header.language,EHDSMedicationAdministration.header.language
EuMedicationAdministration,medication,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSMedicationAdministration.medication,EHDSMedicationAdministration.medication
EuMedicationAdministration,note,,,SHOULD:able-to-populate,,,,,,EHDSMedicationAdministration.note,EHDSMedicationAdministration.note
EuMedicationAdministration,occurenceDateTime,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSMedicationAdministration.occurrence[x],EHDSMedicationAdministration.occurrence[x]
EuMedicationAdministration,occurencePeriod,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSMedicationAdministration.occurrence[x],EHDSMedicationAdministration.occurrence[x]
EuMedicationAdministration,partOf,,,SHALL:able-to-populate,SHOULD:process,,,SHALL:able-to-populate,,EHDSImagingReport.body.examinationReport.medicationAdministration,EHDSImagingReport.body.examinationReport.medicationAdministration
EuMedicationAdministration,reason,,,,,,,,,EHDSMedicationAdministration.reason[x],EHDSMedicationAdministration.reason[x]
EuMedicationAdministration,status,,,SHALL:able-to-populate,,,,,,EHDSMedicationAdministration.header.status,EHDSMedicationAdministration.header.status
EuMedicationAdministration,subject,,,SHALL:able-to-populate,"SHALL:display, SHALL:process",,,,,EHDSMedicationAdministration.header.subject,EHDSMedicationAdministration.header.subject
EuObservation,basedOn,,,,,,,,,EHDSObservation.order,EHDSObservation.order
EuObservation,code,,,SHALL:able-to-populate,"SHALL:display, SHALL:process",,,,,EHDSObservation.component.type,EHDSObservation.component.type
EuObservation,component,,,,,,,,,EHDSObservation.component,EHDSObservation.component
EuObservation,component.interpretation,,,,,,,,,EHDSObservation.component.interpretation,EHDSObservation.component.interpretation
EuObservation,component.referenceRange,,,SHOULD:able-to-populate,SHALL:display,,,,,EHDSObservation.component.referenceRange,EHDSObservation.component.referenceRange
EuObservation,derivedFrom,,,,,,,,,EHDSObservation.derivedFrom[x],EHDSObservation.derivedFrom[x]
EuObservation,effectiveDateTime,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSObservation.observationDate[x],EHDSObservation.observationDate[x]
EuObservation,effectivePeriod,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSObservation.observationDate[x],EHDSObservation.observationDate[x]
EuObservation,focus,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSObservation.header.directSubject[x],EHDSObservation.header.directSubject[x]
EuObservation,hasMember,,,,,,,,,EHDSObservation.hasMember[x],EHDSObservation.hasMember[x]
EuObservation,identifier,,,SHALL:able-to-populate,SHALL:process,,,,,EHDSObservation.header.identifier,EHDSObservation.header.identifier
EuObservation,interpretation,,,,,,,,,EHDSObservation.interpretation,EHDSObservation.interpretation
EuObservation,language,,,,,,,,,EHDSObservation.header.language,EHDSObservation.header.language
EuObservation,method,,,,,,,,,EHDSObservation.method,EHDSObservation.method
EuObservation,referenceRange,,,SHOULD:able-to-populate,SHALL:display,,,,,EHDSObservation.referenceRange,EHDSObservation.referenceRange
EuObservation,status,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSObservation.header.status,EHDSObservation.header.status
EuObservation,subject,,,SHALL:able-to-populate,"SHALL:display, SHALL:process",,,,,EHDSObservation.header.subject,EHDSObservation.header.subject
EuObservation,valueCodeableConcept,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,"EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]","EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]"
EuObservation,valueQuantity,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,"EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]","EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]"
EuObservation,valueRange,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,"EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]","EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]"
EuObservation,valueString,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,"EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]","EHDSObservation.result.value[x], EHDSObservation.component.result.value[x]"
EuOrganization,contact.address,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSOrganisation.address,EHDSOrganisation.address
EuOrganization,contact.telecom,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSOrganisation.telecom,EHDSOrganisation.telecom
EuOrganization,identifier,,,SHALL:able-to-populate,SHALL:process,,,,,EHDSOrganisation.identifier,EHDSOrganisation.identifier
EuOrganization,name,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSOrganisation.name,EHDSOrganisation.name
EuOrganization,partOf,,,SHOULD:able-to-populate,SHALL:display,,,,,EHDSOrganisation.partOf,EHDSOrganisation.partOf
EuOrganization,type,,,,,,,,,EHDSOrganisation.type,EHDSOrganisation.type
EuPatient,address,,,,,,,,,EHDSPatient.address,EHDSPatient.address
EuPatient,birthDate,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSPatient.dateOfBirth,EHDSPatient.dateOfBirth
EuPatient,extension[sex-for-clinical-use],,,SHOULD:able-to-populate,,SHOULD:able-to-populate,,,,EHDSImagingReport.body.supportingInformation.sexForClinicalUse,EHDSImagingReport.body.supportingInformation.sexForClinicalUse
EuPatient,gender,,,"SHALL:able-to-populate, SHOULD:able-to-populate",SHALL:display,,,,,EHDSPatient.administrativeGender,EHDSPatient.administrativeGender
EuPatient,name,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSPatient.name,EHDSPatient.name
EuPatient,telecom,,,,,,,,,EHDSPatient.telecom,EHDSPatient.telecom
EuPractitioner,address,,,,,,,,,EHDSHealthProfessional.address,EHDSHealthProfessional.address
EuPractitioner,identifier,,,SHALL:able-to-populate,SHALL:process,,,,,EHDSHealthProfessional.identifier,EHDSHealthProfessional.identifier
EuPractitioner,name,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSHealthProfessional.name,EHDSHealthProfessional.name
EuPractitioner,telecom,,,,SHALL:display,,,,,EHDSHealthProfessional.telecom,EHDSHealthProfessional.telecom
EuPractitionerRole,practitioner,,,,,,,,,,
EuProcedure,bodySite,,,"SHALL:able-to-populate, SHOULD:able-to-populate",,,,,,EHDSProcedure.bodySite,EHDSProcedure.bodySite
EuProcedure,code,,,SHALL:able-to-populate,SHALL:display,,,,,EHDSProcedure.code,EHDSProcedure.code
EuProcedure,complication.concept,,,,,,,,,EHDSProcedure.complication,EHDSProcedure.complication
EuProcedure,focalDevice.manipulated,,,,,,,,,EHDSProcedure.focalDevice,EHDSProcedure.focalDevice
EuProcedure,identifier,,,SHOULD:able-to-populate,,,,,,EHDSProcedure.header.identifier,EHDSProcedure.header.identifier
EuProcedure,language,,,,,,,,,EHDSProcedure.header.language,EHDSProcedure.header.language
EuProcedure,note,,,SHOULD:able-to-populate,SHALL:display,,,,,EHDSProcedure.note,EHDSProcedure.note
EuProcedure,outcome,,,,,,,,,EHDSProcedure.outcome,EHDSProcedure.outcome
EuProcedure,performer.actor,,,,,,,,,EHDSProcedure.performer,EHDSProcedure.performer
EuProcedure,reason,,,,,,,,,EHDSProcedure.reason[x],EHDSProcedure.reason[x]
EuProcedure,status,,,SHALL:able-to-populate,,,,,,EHDSProcedure.header.status,EHDSProcedure.header.status
EuProcedure,subject,,,SHALL:able-to-populate,"SHALL:display, SHALL:process",,,,,EHDSProcedure.header.subject,EHDSProcedure.header.subject
EuProcedure,used[device],,,,,,,,,EHDSProcedure.deviceUsed,EHDSProcedure.deviceUsed
EuQuantity,extension[uncertaintyType],,,SHOULD:able-to-populate,SHOULD:display,,,,,EHDSObservation.component.result.uncertainty,EHDSObservation.component.result.uncertainty
EuQuantity,extension[uncertainty],,,SHOULD:able-to-populate,SHOULD:display,,,,,"EHDSObservation.result.uncertainty, EHDSObservation.component.result.uncertainty","EHDSObservation.result.uncertainty, EHDSObservation.component.result.uncertainty"
EuServiceRequest,encounter,,,,,,,,,EHDSServiceRequest.encounter,EHDSServiceRequest.encounter
EuServiceRequest,identifier,,,SHOULD:able-to-populate,,,,,,EHDSServiceRequest.header.identifier,EHDSServiceRequest.header.identifier
EuServiceRequest,language,,,,,,,,,EHDSServiceRequest.header.language,EHDSServiceRequest.header.language
EuServiceRequest,occurrenceDateTime,,,,,,,,,EHDSServiceRequest.occurrence[x],EHDSServiceRequest.occurrence[x]
EuServiceRequest,occurrencePeriod,,,,,,,,,EHDSServiceRequest.occurrence[x],EHDSServiceRequest.occurrence[x]
EuServiceRequest,patientInstruction.instructionMarkdown,,,,,,,,,EHDSServiceRequest.patientInstructions,EHDSServiceRequest.patientInstructions
EuServiceRequest,priority,,,SHOULD:able-to-populate,,,,,,EHDSServiceRequest.priority,EHDSServiceRequest.priority
EuServiceRequest,quantityQuantity,,,SHALL:able-to-populate,,,,,,EHDSServiceRequest.quantity,EHDSServiceRequest.quantity
EuServiceRequest,specimen,,,SHALL:able-to-populate,,,,,,EHDSServiceRequest.specimen,EHDSServiceRequest.specimen
EuServiceRequest,status,,,SHALL:able-to-populate,,,,,,EHDSServiceRequest.header.status,EHDSServiceRequest.header.status
EuServiceRequest,subject,,,SHALL:able-to-populate,,,,,,EHDSServiceRequest.header.subject,EHDSServiceRequest.header.subject
EuServiceRequest,supportingInfo,,,SHOULD:able-to-populate,,,,,,EHDSServiceRequest.supportingInformation[x],EHDSServiceRequest.supportingInformation[x]
EuSimpleQuantity,extension[uncertaintyType],,,SHOULD:able-to-populate,SHOULD:display,,,,,EHDSObservation.component.result.uncertainty,EHDSObservation.component.result.uncertainty
EuSimpleQuantity,extension[uncertainty],,,SHOULD:able-to-populate,SHOULD:display,,,,,EHDSObservation.component.result.uncertainty,EHDSObservation.component.result.uncertainty
HL7IDRCommunicationExt,extension,0..0,,,,,,,,,
HL7IDRCommunicationExt,url,1..1,,,,,,,,,
HL7IDRCommunicationExt,value[x],0..1,,,,,,,,,
HL7IDRComparisonStudiesExt,extension,0..0,,,,,,,,,
HL7IDRComparisonStudiesExt,url,1..1,,,,,,,,,
HL7IDRComparisonStudiesExt,value[x],0..1,,,,,,,,,
HL7IDRFindingExt,extension,0..0,,,,,,,,,
HL7IDRFindingExt,url,1..1,,,,,,,,,
HL7IDRFindingExt,value[x],0..1,,,,,,,,,
HL7IDRImagingProcedureExt,extension,0..0,,,,,,,,,
HL7IDRImagingProcedureExt,url,1..1,,,,,,,,,
HL7IDRImagingProcedureExt,value[x],0..1,,,,,,,,,
HL7IDRImpressionExt,extension,0..0,,,,,,,,,
HL7IDRImpressionExt,url,1..1,,,,,,,,,
HL7IDRImpressionExt,value[x],0..1,,,,,,,,,
HL7IDRPatientHistoryExt,extension,0..0,,,,,,,,,
HL7IDRPatientHistoryExt,url,1..1,,,,,,,,,
HL7IDRPatientHistoryExt,value[x],0..1,,,,,,,,,
HL7IDRRecommendationExt,extension,0..0,,,,,,,,,
HL7IDRRecommendationExt,url,1..1,,,,,,,,,
HL7IDRRecommendationExt,value[x],0..1,,,,,,,,,
ICD-11,SNOMED CT (preferred),,,,,,,,,EHDSPregnancyHistory.outcome,EHDSPregnancyHistory.outcome
ImDocumentReferenceContentProfile,extension,0..0,,,,,,,,,
ImDocumentReferenceContentProfile,url,1..1,,,,,,,,,
ImDocumentReferenceContentProfile,value[x],0..1,,,,,,,,,
ImagingSelectionEuImaging,derivedFrom,1..*,,,,,,,,,
ImagingSelectionEuImaging,derivedFrom[study],1..1,,,,,,,,,
ImagingSelectionEuImaging,subject,0..1,,,,,,,,,
ImagingSelectionKeyImageEuImaging,extension,0..*,,,,,,,,,
ImagingSelectionKeyImageEuImaging,extension[description],0..1,,,,,,,,,
ImagingSelectionKeyImageEuImaging,extension[title],0..1,,,,,,,,,
ImagingSelectionKeyImageEuImaging,performer,0..*,,,,,,,,,
ImagingSelectionKeyImageEuImaging,performer[device],0..1,,,,,,,,,
ImagingSelectionKeyImageEuImaging,performer[device].actor,0..1,,,,,,,,,
ImagingSelectionKeyImageEuImaging,performer[performer],0..1,,,,,,,,,
ImagingSelectionKeyImageEuImaging,performer[performer].actor,0..1,,,,,,,,,
ImagingStudyEuImaging,basedOn,0..*,,SHOULD:able-to-populate,SHOULD:process,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingStudy.basedOn,EHDSImagingStudy.basedOn
ImagingStudyEuImaging,basedOn[ServiceRequestOrderEuImagingaccession],0..1,,,,,,,,,
ImagingStudyEuImaging,basedOn[ServiceRequestOrderEuImagingaccession].identifier,1..1,,,,,,,,,
ImagingStudyEuImaging,description,0..1,,SHALL:able-to-populate,SHOULD:process,SHALL:able-to-populate,,SHALL:able-to-populate,,EHDSImagingStudy.description,EHDSImagingStudy.description
ImagingStudyEuImaging,encounter,0..1,,SHOULD:able-to-populate,SHOULD:process,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingStudy.encounter,EHDSImagingStudy.encounter
ImagingStudyEuImaging,endpoint,0..*,,SHALL:able-to-populate,SHALL:process,SHALL:able-to-populate,,SHALL:able-to-populate,,EHDSImagingStudy.studyEndpoint,EHDSImagingStudy.studyEndpoint
ImagingStudyEuImaging,extension,0..*,,,,,,,,,
ImagingStudyEuImaging,extension[anatomical-region],0..*,,,,,,,,,
ImagingStudyEuImaging,identifier,1..*,,,,,,,,,
ImagingStudyEuImaging,identifier[studyInstanceUid],1..1,,SHALL:able-to-populate,SHOULD:process,SHALL:able-to-populate,,SHALL:able-to-populate,,EHDSImagingStudy.header.identifier,EHDSImagingStudy.header.identifier
ImagingStudyEuImaging,language,0..1,,SHOULD:able-to-populate,,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingStudy.header.language,EHDSImagingStudy.header.language
ImagingStudyEuImaging,modality,0..*,,SHOULD:able-to-populate,SHOULD:process,SHOULD:able-to-populate,,SHOULD:able-to-populate,,EHDSImagingReport.header.eventType,EHDSImagingReport.header.eventType
ImagingStudyEuImaging,numberOfInstances,0..1,,SHALL:able-to-populate,SHOULD:process,SHALL:able-to-populate,,SHALL:able-to-populate,,EHDSImagingStudy.numberOfInstances,EHDSImagingStudy.numberOfInstances
